Links,subdir1,subdir2,subdir3,subdir4,subdir5,subdir6,subdir7,subdir8,subdir9,subdir10,subdir11
https://www.datacamp.com/webinars/fine-tuning-gpt3point5-with-the-openai-api,webinars,fine-tuning-gpt3point5-with-the-openai-api,,,,,,,,,
https://www.datacamp.com/webinars/modernizing-sales-analytics-with-snowflake,webinars,modernizing-sales-analytics-with-snowflake,,,,,,,,,
https://www.datacamp.com/webinars/fine-tuning-your-own-llama-2-model,webinars,fine-tuning-your-own-llama-2-model,,,,,,,,,
https://www.datacamp.com/webinars/unleashing-the-synergy-of-LLMs-and-knowledge-graphs,webinars,unleashing-the-synergy-of-LLMs-and-knowledge-graphs,,,,,,,,,
https://www.datacamp.com/webinars/dashboard-design-tableau,webinars,dashboard-design-tableau,,,,,,,,,
https://www.datacamp.com/webinars/gender-bias-text-analysis-python,webinars,gender-bias-text-analysis-python,,,,,,,,,
https://www.datacamp.com/webinars/data-analysis-julia-absolute-beginners,webinars,data-analysis-julia-absolute-beginners,,,,,,,,,
https://www.datacamp.com/projects/1876,projects,1876,,,,,,,,,
https://www.datacamp.com/projects/1809,projects,1809,,,,,,,,,
https://www.datacamp.com/projects/1792,projects,1792,,,,,,,,,
https://www.datacamp.com/projects/1725,projects,1725,,,,,,,,,
https://www.datacamp.com/projects/1633,projects,1633,,,,,,,,,
https://www.datacamp.com/projects/1684,projects,1684,,,,,,,,,
https://www.datacamp.com/projects/1724,projects,1724,,,,,,,,,
https://www.datacamp.com/projects/1621,projects,1621,,,,,,,,,
https://www.datacamp.com/projects/1674,projects,1674,,,,,,,,,
https://www.datacamp.com/projects/1772,projects,1772,,,,,,,,,
https://www.datacamp.com/projects/68,projects,68,,,,,,,,,
https://www.datacamp.com/projects/1805,projects,1805,,,,,,,,,
https://www.datacamp.com/projects/1824,projects,1824,,,,,,,,,
https://www.datacamp.com/projects/1645,projects,1645,,,,,,,,,
https://www.datacamp.com/projects/1611,projects,1611,,,,,,,,,
https://www.datacamp.com/projects/1951,projects,1951,,,,,,,,,
https://www.datacamp.com/projects/1685,projects,1685,,,,,,,,,
https://www.datacamp.com/projects/1230,projects,1230,,,,,,,,,
https://www.datacamp.com/projects/1849,projects,1849,,,,,,,,,
https://www.datacamp.com/projects/1796,projects,1796,,,,,,,,,
https://www.datacamp.com/projects/1822,projects,1822,,,,,,,,,
https://www.datacamp.com/projects/1931,projects,1931,,,,,,,,,
https://www.datacamp.com/projects/1360,projects,1360,,,,,,,,,
https://www.datacamp.com/projects/607,projects,607,,,,,,,,,
https://www.datacamp.com/projects/1857,projects,1857,,,,,,,,,
https://www.datacamp.com/projects/62,projects,62,,,,,,,,,
https://www.datacamp.com/projects/1962,projects,1962,,,,,,,,,
https://www.datacamp.com/projects/10,projects,10,,,,,,,,,
https://www.datacamp.com/projects/1996,projects,1996,,,,,,,,,
https://www.datacamp.com/projects/111,projects,111,,,,,,,,,
https://www.datacamp.com/projects/132,projects,132,,,,,,,,,
https://www.datacamp.com/projects/309,projects,309,,,,,,,,,
https://www.datacamp.com/projects/1963,projects,1963,,,,,,,,,
https://www.datacamp.com/projects/33,projects,33,,,,,,,,,
https://www.datacamp.com/projects/400,projects,400,,,,,,,,,
https://www.datacamp.com/projects/412,projects,412,,,,,,,,,
https://www.datacamp.com/projects/1879,projects,1879,,,,,,,,,
https://www.datacamp.com/projects/1187,projects,1187,,,,,,,,,
https://www.datacamp.com/projects/1197,projects,1197,,,,,,,,,
https://www.datacamp.com/projects/41,projects,41,,,,,,,,,
https://www.datacamp.com/projects/38,projects,38,,,,,,,,,
https://www.datacamp.com/projects/1413,projects,1413,,,,,,,,,
https://www.datacamp.com/projects/74,projects,74,,,,,,,,,
https://www.datacamp.com/projects/76,projects,76,,,,,,,,,
https://www.datacamp.com/projects/82,projects,82,,,,,,,,,
https://www.datacamp.com/projects/1383,projects,1383,,,,,,,,,
https://www.datacamp.com/projects/1613,projects,1613,,,,,,,,,
https://www.datacamp.com/projects/1896,projects,1896,,,,,,,,,
https://www.datacamp.com/projects/1965,projects,1965,,,,,,,,,
https://www.datacamp.com/projects/49,projects,49,,,,,,,,,
https://www.datacamp.com/projects/441,projects,441,,,,,,,,,
https://www.datacamp.com/projects/438,projects,438,,,,,,,,,
https://www.datacamp.com/projects/445,projects,445,,,,,,,,,
https://www.datacamp.com/projects/449,projects,449,,,,,,,,,
https://www.datacamp.com/projects/479,projects,479,,,,,,,,,
https://www.datacamp.com/projects/475,projects,475,,,,,,,,,
https://www.datacamp.com/projects/462,projects,462,,,,,,,,,
https://www.datacamp.com/projects/464,projects,464,,,,,,,,,
https://www.datacamp.com/projects/467,projects,467,,,,,,,,,
https://www.datacamp.com/projects/712,projects,712,,,,,,,,,
https://www.datacamp.com/projects/496,projects,496,,,,,,,,,
https://www.datacamp.com/projects/504,projects,504,,,,,,,,,
https://www.datacamp.com/projects/509,projects,509,,,,,,,,,
https://www.datacamp.com/projects/515,projects,515,,,,,,,,,
https://www.datacamp.com/projects/511,projects,511,,,,,,,,,
https://www.datacamp.com/projects/1441,projects,1441,,,,,,,,,
https://www.datacamp.com/projects/547,projects,547,,,,,,,,,
https://www.datacamp.com/projects/552,projects,552,,,,,,,,,
https://www.datacamp.com/projects/555,projects,555,,,,,,,,,
https://www.datacamp.com/projects/558,projects,558,,,,,,,,,
https://www.datacamp.com/projects/561,projects,561,,,,,,,,,
https://www.datacamp.com/projects/538,projects,538,,,,,,,,,
https://www.datacamp.com/projects/1247,projects,1247,,,,,,,,,
https://www.datacamp.com/projects/567,projects,567,,,,,,,,,
https://www.datacamp.com/projects/571,projects,571,,,,,,,,,
https://www.datacamp.com/projects/584,projects,584,,,,,,,,,
https://www.datacamp.com/projects/1354,projects,1354,,,,,,,,,
https://www.datacamp.com/projects/611,projects,611,,,,,,,,,
https://www.datacamp.com/projects/614,projects,614,,,,,,,,,
https://www.datacamp.com/projects/673,projects,673,,,,,,,,,
https://www.datacamp.com/projects/648,projects,648,,,,,,,,,
https://www.datacamp.com/projects/646,projects,646,,,,,,,,,
https://www.datacamp.com/projects/677,projects,677,,,,,,,,,
https://www.datacamp.com/projects/668,projects,668,,,,,,,,,
https://www.datacamp.com/projects/664,projects,664,,,,,,,,,
https://www.datacamp.com/projects/208,projects,208,,,,,,,,,
https://www.datacamp.com/projects/489,projects,489,,,,,,,,,
https://www.datacamp.com/projects/458,projects,458,,,,,,,,,
https://www.datacamp.com/projects/1888,projects,1888,,,,,,,,,
https://www.datacamp.com/projects/1991,projects,1991,,,,,,,,,
https://www.datacamp.com/projects/1906,projects,1906,,,,,,,,,
https://www.datacamp.com/projects/1908,projects,1908,,,,,,,,,
https://www.datacamp.com/projects/1416,projects,1416,,,,,,,,,
https://www.datacamp.com/projects/66,projects,66,,,,,,,,,
https://www.datacamp.com/projects,projects,,,,,,,,,,
https://www.datacamp.com/projects/796,projects,796,,,,,,,,,
https://www.datacamp.com/projects/478,projects,478,,,,,,,,,
https://www.datacamp.com/projects/139,projects,139,,,,,,,,,
https://www.datacamp.com/projects/1833,projects,1833,,,,,,,,,
https://www.datacamp.com/projects/250,projects,250,,,,,,,,,
https://www.datacamp.com/projects/870,projects,870,,,,,,,,,
https://www.datacamp.com/projects/1232,projects,1232,,,,,,,,,
https://www.datacamp.com/projects/1234,projects,1234,,,,,,,,,
https://www.datacamp.com/projects/1237,projects,1237,,,,,,,,,
https://www.datacamp.com/projects/1581,projects,1581,,,,,,,,,
https://www.datacamp.com/projects/141,projects,141,,,,,,,,,
https://www.datacamp.com/projects/374,projects,374,,,,,,,,,
https://www.datacamp.com/projects/1168,projects,1168,,,,,,,,,
https://www.datacamp.com/projects/1170,projects,1170,,,,,,,,,
https://www.datacamp.com/projects/1172,projects,1172,,,,,,,,,
https://www.datacamp.com/projects/1174,projects,1174,,,,,,,,,
https://www.datacamp.com/projects/695,projects,695,,,,,,,,,
https://www.datacamp.com/projects/684,projects,684,,,,,,,,,
https://www.datacamp.com/projects/691,projects,691,,,,,,,,,
https://www.datacamp.com/projects/78,projects,78,,,,,,,,,
https://www.datacamp.com/projects/184,projects,184,,,,,,,,,
https://www.datacamp.com/projects/177,projects,177,,,,,,,,,
https://www.datacamp.com/projects/1582,projects,1582,,,,,,,,,
https://www.datacamp.com/projects/158,projects,158,,,,,,,,,
https://www.datacamp.com/projects/163,projects,163,,,,,,,,,
https://www.datacamp.com/projects/166,projects,166,,,,,,,,,
https://www.datacamp.com/projects/1442,projects,1442,,,,,,,,,
https://www.datacamp.com/projects/697,projects,697,,,,,,,,,
https://www.datacamp.com/projects/740,projects,740,,,,,,,,,
https://www.datacamp.com/projects/727,projects,727,,,,,,,,,
https://www.datacamp.com/projects/738,projects,738,,,,,,,,,
https://www.datacamp.com/projects/754,projects,754,,,,,,,,,
https://www.datacamp.com/projects/758,projects,758,,,,,,,,,
https://www.datacamp.com/projects/760,projects,760,,,,,,,,,
https://www.datacamp.com/projects/981,projects,981,,,,,,,,,
https://www.datacamp.com/projects/1001,projects,1001,,,,,,,,,
https://www.datacamp.com/projects/435,projects,435,,,,,,,,,
https://www.datacamp.com/projects/1008,projects,1008,,,,,,,,,
https://www.datacamp.com/projects/1010,projects,1010,,,,,,,,,
https://www.datacamp.com/projects/20,projects,20,,,,,,,,,
https://www.datacamp.com/projects/1531,projects,1531,,,,,,,,,
https://www.datacamp.com/projects/1574,projects,1574,,,,,,,,,
https://www.datacamp.com/projects/1358,projects,1358,,,,,,,,,
https://www.datacamp.com/projects/1600,projects,1600,,,,,,,,,
https://www.datacamp.com/projects/1590,projects,1590,,,,,,,,,
https://www.datacamp.com/projects/1589,projects,1589,,,,,,,,,
https://www.datacamp.com/projects/1593,projects,1593,,,,,,,,,
https://www.datacamp.com/projects/1594,projects,1594,,,,,,,,,
https://www.datacamp.com/projects/1596,projects,1596,,,,,,,,,
https://www.datacamp.com/projects/1601,projects,1601,,,,,,,,,
https://www.datacamp.com/projects/619,projects,619,,,,,,,,,
https://www.datacamp.com/projects/97,projects,97,,,,,,,,,
https://www.datacamp.com/projects/638,projects,638,,,,,,,,,
https://www.datacamp.com/projects/643,projects,643,,,,,,,,,
https://www.datacamp.com/learn/ai,learn,ai,,,,,,,,,
https://www.datacamp.com/learn/create,learn,create,,,,,,,,,
https://www.datacamp.com/learn/tableau,learn,tableau,,,,,,,,,
https://www.datacamp.com/learn/data-science-roadmap,learn,data-science-roadmap,,,,,,,,,
https://www.datacamp.com/learn/sql,learn,sql,,,,,,,,,
https://www.datacamp.com/learn/r,learn,r,,,,,,,,,
https://www.datacamp.com/learn/2022-best-of-signup,learn,2022-best-of-signup,,,,,,,,,
https://www.datacamp.com/learn/power-bi,learn,power-bi,,,,,,,,,
https://www.datacamp.com/business/partners/v2-institute-of-analytics-future-skills-training,business,partners,v2-institute-of-analytics-future-skills-training,,,,,,,,
https://www.datacamp.com/pricing,pricing,,,,,,,,,,
https://www.datacamp.com/certification/data-engineer,certification,data-engineer,,,,,,,,,
https://www.datacamp.com/radar-ai,radar-ai,,,,,,,,,,
https://www.datacamp.com/radar-data-and-ai,radar-data-and-ai,,,,,,,,,,
https://www.datacamp.com/business/partners/coca-cola-and-datacamp,business,partners,coca-cola-and-datacamp,,,,,,,,
https://www.datacamp.com/universities,universities,,,,,,,,,,
https://www.datacamp.com/security,security,,,,,,,,,,
https://www.datacamp.com/about,about,,,,,,,,,,
https://www.datacamp.com/accessibility,accessibility,,,,,,,,,,
https://www.datacamp.com/careers,careers,,,,,,,,,,
https://www.datacamp.com/certification,certification,,,,,,,,,,
https://www.datacamp.com/cookie-notice,cookie-notice,,,,,,,,,,
https://www.datacamp.com/create,create,,,,,,,,,,
https://www.datacamp.com/data-processing-addendum,data-processing-addendum,,,,,,,,,,
https://www.datacamp.com/do-not-sell-my-personal-information,do-not-sell-my-personal-information,,,,,,,,,,
https://www.datacamp.com/interactive-learning,interactive-learning,,,,,,,,,,
https://www.datacamp.com/jobs,jobs,,,,,,,,,,
https://www.datacamp.com/open-source,open-source,,,,,,,,,,
https://www.datacamp.com/press,press,,,,,,,,,,
https://www.datacamp.com/signal,signal,,,,,,,,,,
https://www.datacamp.com/terms-of-use,terms-of-use,,,,,,,,,,
https://www.datacamp.com/radar-ai-recordings,radar-ai-recordings,,,,,,,,,,
https://www.datacamp.com/ai-code-alongs,ai-code-alongs,,,,,,,,,,
https://www.datacamp.com/degreed-data-science-training,degreed-data-science-training,,,,,,,,,,
https://www.datacamp.com/data-portfolio,data-portfolio,,,,,,,,,,
https://www.datacamp.com/privacy-policy,privacy-policy,,,,,,,,,,
https://www.datacamp.com/security/responsible-disclosure,security,responsible-disclosure,,,,,,,,,
https://www.datacamp.com/why-datacamp,why-datacamp,,,,,,,,,,
https://www.datacamp.com/competitions/exploring-netflix-most-popular-content-from-its-top-10-charts,competitions,exploring-netflix-most-popular-content-from-its-top-10-charts,,,,,,,,,
https://www.datacamp.com/competitions/which-tree-species-should-the-city-plant,competitions,which-tree-species-should-the-city-plant,,,,,,,,,
https://www.datacamp.com/competitions/improving-the-performance-of-an-investment-fund,competitions,improving-the-performance-of-an-investment-fund,,,,,,,,,
https://www.datacamp.com/competitions/how-can-hospitals-reduce-readmissions,competitions,how-can-hospitals-reduce-readmissions,,,,,,,,,
https://www.datacamp.com/competitions/understanding-the-local-electricity-market,competitions,understanding-the-local-electricity-market,,,,,,,,,
https://www.datacamp.com/competitions/how-much-of-the-world-has-access-to-the-nternet,competitions,how-much-of-the-world-has-access-to-the-nternet,,,,,,,,,
https://www.datacamp.com/privacy-policy/cookie_table,privacy-policy,cookie_table,,,,,,,,,
https://www.datacamp.com/competitions/which-countries-produce-and-consume-wine,competitions,which-countries-produce-and-consume-wine,,,,,,,,,
https://www.datacamp.com/data-science-competitions,data-science-competitions,,,,,,,,,,
https://www.datacamp.com/promo,promo,,,,,,,,,,
https://www.datacamp.com/discover/power-bi-essential-training,discover,power-bi-essential-training,,,,,,,,,
https://www.datacamp.com/business/partners/test-11,business,partners,test-11,,,,,,,,
https://www.datacamp.com/scholarship/[slug],scholarship,[slug],,,,,,,,,
https://www.datacamp.com/data-literacy-month,data-literacy-month,,,,,,,,,,
https://www.datacamp.com/data-jobs,data-jobs,,,,,,,,,,
https://www.datacamp.com,,,,,,,,,,,
https://www.datacamp.com/api/image/portfolio/og,api,image,portfolio,og,,,,,,,
https://www.datacamp.com/500,500,,,,,,,,,,
https://www.datacamp.com/about/leadership,about,leadership,,,,,,,,,
https://www.datacamp.com/pricing/b2c,pricing,b2c,,,,,,,,,
https://www.datacamp.com/pricing/student,pricing,student,,,,,,,,,
https://www.datacamp.com/landing/1,landing,1,,,,,,,,,
https://www.datacamp.com/affiliates,affiliates,,,,,,,,,,
https://www.datacamp.com/affiliates/terms-and-conditions,affiliates,terms-and-conditions,,,,,,,,,
https://www.datacamp.com/discover/tableau-essential-training,discover,tableau-essential-training,,,,,,,,,
https://www.datacamp.com/onboarding,onboarding,,,,,,,,,,
https://www.datacamp.com/onboarding/career,onboarding,career,,,,,,,,,
https://www.datacamp.com/onboarding/tableau-powerbi,onboarding,tableau-powerbi,,,,,,,,,
https://www.datacamp.com/search,search,,,,,,,,,,
https://www.datacamp.com/users/password/new,users,password,new,,,,,,,,
https://www.datacamp.com/users/sign_in,users,sign_in,,,,,,,,,
https://www.datacamp.com/users/sign_up,users,sign_up,,,,,,,,,
https://www.datacamp.com/courses-all,courses-all,,,,,,,,,,
https://www.datacamp.com/api/image/year-in-data/portrait/certification,api,image,year-in-data,portrait,certification,,,,,,
https://www.datacamp.com/api/image/year-in-data/portrait/courses-tracks-completed,api,image,year-in-data,portrait,courses-tracks-completed,,,,,,
https://www.datacamp.com/api/image/year-in-data/portrait/hours-learning,api,image,year-in-data,portrait,hours-learning,,,,,,
https://www.datacamp.com/api/image/year-in-data/portrait/latest-courses-tracks,api,image,year-in-data,portrait,latest-courses-tracks,,,,,,
https://www.datacamp.com/api/image/year-in-data/portrait/technology-stack,api,image,year-in-data,portrait,technology-stack,,,,,,
https://www.datacamp.com/api/image/year-in-data/landscape/certification/certificate-name/[name]/level/[level]/badge-hex/[hex],api,image,year-in-data,landscape,certification,certificate-name,[name],level,[level],badge-hex,[hex]
https://www.datacamp.com/api/image/year-in-data/portrait/workspaces-created,api,image,year-in-data,portrait,workspaces-created,,,,,,
https://www.datacamp.com/api/image/year-in-data/portrait/xp-with-day-streak,api,image,year-in-data,portrait,xp-with-day-streak,,,,,,
https://www.datacamp.com/api/image/year-in-data/landscape/technology-stack/[stack],api,image,year-in-data,landscape,technology-stack,[stack],,,,,
https://www.datacamp.com/api/image/year-in-data/landscape/hours-learning/hours/[hours],api,image,year-in-data,landscape,hours-learning,hours,[hours],,,,
https://www.datacamp.com/api/image/year-in-data/landscape/workspaces-created/[workspaceCount]/upvotes/[upvoteCount],api,image,year-in-data,landscape,workspaces-created,[workspaceCount],upvotes,[upvoteCount],,,
https://www.datacamp.com/api/image/year-in-data/landscape/courses-tracks-completed/courses/[coursesCount]/tracks/[tracksCount],api,image,year-in-data,landscape,courses-tracks-completed,courses,[coursesCount],tracks,[tracksCount],,
